doc_id,config,task,rep,primary_type,type_flags,phase,source_coverage_fraction,content
4c6825144802eb923c6fd7beee2f76d5,observational-memory-glm52-high,actionlint-action-pinning-lint,0,test_failure,implementation_state;test_failure,early,0.32894736842105265,User provided detailed instructions to add an `action-pinning` lint rule (error kind `action-pinning`) to the actionlint project that checks step-level action `uses:` references and job-level reusable workflow `uses:` references for version pinning.
cc3931d431bb90294d551b0183460d3e,observational-memory-glm52-high,actionlint-action-pinning-lint,0,implementation_state,code_structure;implementation_state,early,0.32894736842105265,"action-pinning config section has a `level` field accepting `major-minor` (vMAJOR.MINOR), `semver` (vMAJOR.MINOR.PATCH including prerelease, this is the default), or `commit-sha` (40-char lowercase hex SHA). Levels are ordered by increasing strictness so a stricter-satisfying ref also satisfies looser requirements."
9a5215ebdf66c66fa6521e67872bff7b,observational-memory-glm52-high,actionlint-action-pinning-lint,0,test_failure,test_failure,early,0.32894736842105265,"Setting `action-pinning: null` keeps the rule disabled; empty object `action-pinning: {}` enables it with defaults. Skip local refs (`./`) and Docker refs (`docker://`). When action name itself is an expression, skip entirely; when only the version ref is a dynamic expression, flag with an error indicating the ref is a dynamic expression that cannot be verified for pinning."
1e04707a6f9400da7ce99251840e76bf,observational-memory-glm52-high,actionlint-action-pinning-lint,0,other,other,early,0.32894736842105265,"Config supports `allowed-owners` (case-insensitive), `allowed-actions` (`owner/repo`), `denied-owners`, and `denied-actions`. Global and per-path allowed/denied lists merge by union; denials take precedence over allowances but denied entries are still subject to pinning checks (not unconditionally blocked)."
19ecdac7b96f0288116a8c3f0a116caa,observational-memory-glm52-high,actionlint-action-pinning-lint,0,test_failure,task_requirement;implementation_state;test_failure,early,0.32894736842105265,"For popular actions in known-actions data, error suggestions should reference the specific known version. Per-path overrides use `action-pinning` key to override pinning level; a per-path entry enables the rule even without a global section."
596520d982f5133e5a5c751f931cd826,observational-memory-glm52-high,actionlint-action-pinning-lint,0,test_failure,task_requirement;test_failure,early,0.32894736842105265,"An `-action-pinning-level` CLI flag overrides only the pinning level (not allow/deny lists) and enables the rule even when otherwise disabled. Config validation should reject invalid levels, owners with slashes, and malformed `owner/repo` entries in both allowed and denied lists. Error messages should distinguish reusable workflows from step actions."
64c48cc46ccf789b663f9d76a01c0178,observational-memory-glm52-high,actionlint-action-pinning-lint,0,implementation_state,task_requirement;implementation_state,early,0.32894736842105265,User requested working on a new branch from main and committing everything when done.
2f2c888709e19a9013c9ad1b02476cb7,observational-memory-glm52-high,actionlint-action-pinning-lint,0,implementation_state,code_structure;implementation_state,early,0.32894736842105265,"Created new git branch `action-pinning` from main. The repo root contains the actionlint Go source with files including config.go, rule_action.go, rule_workflow_call.go, linter.go, rule.go, popular_actions.go, reusable_workflow.go, command.go, and ast.go."
3565f1ea3de8812e2ceaa9a2d9952b5c,observational-memory-glm52-high,actionlint-action-pinning-lint,0,implementation_state,code_structure;implementation_state,early,0.32894736842105265,"Key codebase exploration findings: Config struct is in config.go with PathConfig for per-path overrides and PathConfigs() method for matching. RuleAction (rule_action.go:307) implements VisitStep and handles `uses:` parsing for actions (local `./`, docker://, and repo actions). RuleWorkflowCall (rule_workflow_call.go:18) handles job-level reusable workflow calls via VisitJobPre. WorkflowCall struct (ast.go:848) has a `Uses *String` field for reusable workflow references."
deea31423779c1b577e6a9144f81532c,observational-memory-glm52-high,actionlint-action-pinning-lint,0,code_structure,code_structure,early,0.32894736842105265,"Rules are registered in linter.go around line 558-572 (NewRuleAction at line 564, NewRuleWorkflowCall at line 569). CLI flags are defined in command.go lines 134-148 using Go's flag package. RuleBase (rule.go:18) provides VisitStep, VisitJobPre, VisitJobPost no-op defaults."
